entry,subentry,pt,eta,phi,mass
0,0,41.15614,-0.4547119,-2.4916992,0.10571289
0,1,40.38981,-0.2336731,0.6813965,0.10571289
2,0,29.009573,1.4453125,-2.3720703,0.10571289
2,1,14.167344,1.3737793,1.1442871,0.10571289
4,0,93.018745,-0.7602539,0.094955444,0.10571289
4,1,19.39299,0.05214691,-2.6298828,0.10571289
9,0,35.238907,1.4440918,-1.0383301,0.10571289
11,0,27.201418,2.0864258,0.48132324,0.10571289
11,1,16.11621,-0.04245758,2.9086914,0.10571289
14,0,78.40361,1.8095703,2.3901367,0.10571289
14,1,18.90306,2.1484375,2.4365234,0.10571289
19,0,30.331184,-0.9926758,2.4003906,0.10571289
19,1,22.334652,1.4829102,-0.5736084,0.10571289
22,0,19.486616,-0.20864868,-1.6120605,0.10571289
24,0,67.84999,1.3730469,2.3671875,0.10571289
31,0,53.907894,-1.5893555,0.8718262,0.10571289
31,1,32.060703,-1.8579102,-2.4257812,0.10571289
32,0,143.90106,-0.5897217,0.31976318,0.10571289
32,1,16.403982,0.57141113,-1.1921387,0.10571289
35,0,39.750805,0.9111328,-1.9499512,0.10571289
35,1,27.109673,2.2148438,1.3205566,0.10571289
38,0,53.901512,-0.20837402,-1.4973145,0.10571289
38,1,15.5262165,-1.7490234,-1.9465332,0.10571289
49,0,32.09045,-0.20635986,-0.99279785,0.10571289
49,1,19.337801,0.3477173,0.02028656,0.10571289
50,0,15.796049,-2.2797852,0.37402344,0.10571289
51,0,88.35931,-0.32757568,0.23995972,0.10571289
51,1,27.587004,1.1689453,1.7272949,0.10571289
53,0,41.323288,1.4401855,-2.9824219,0.10571289
53,1,24.432943,1.7331543,0.6002197,0.10571289
54,0,49.306747,-1.3618164,-2.0263672,0.10571289
54,1,21.308228,-0.40618896,1.5183105,0.10571289
60,0,33.583664,0.845459,1.3774414,0.10571289
62,0,49.12171,2.3188477,0.8861084,0.10571289
62,1,39.965233,1.7250977,-1.2443848,0.10571289
64,0,12.152863,2.3081055,-2.9145508,0.10571289
67,0,21.000275,0.2088623,-2.9370117,0.10571289
72,0,62.748882,-1.5219727,0.13244629,0.10571289
72,1,21.068798,-0.8729248,-1.8095703,0.10571289
74,0,20.03696,-2.109375,3.0913086,0.10571289
84,0,79.296715,1.0195312,1.2756348,0.10571289
84,1,26.0279,0.8220215,-1.6057129,0.10571289
86,0,39.060665,-1.862793,0.45306396,0.10571289
86,1,19.042793,-2.34375,-1.8916016,0.10571289
91,0,23.354843,0.12753296,-2.493164,0.10571289
91,1,19.851204,0.65026855,-0.018882751,0.10571289
91,2,16.916805,2.3041992,0.9465332,0.10571289
92,0,25.575956,0.023582458,-0.4411621,0.10571289
92,1,24.44846,1.5219727,2.680664,0.10571289
96,0,44.401936,-0.11856079,-1.2143555,0.10571289
96,1,37.071247,0.5303955,2.5219727,0.10571289
99,0,66.67267,2.2319336,-1.0065918,0.10571289
99,1,54.631367,2.0708008,2.0668945,0.10571289
103,0,12.763928,0.954834,-1.1889648,0.10571289
104,0,118.73091,-0.60461426,2.4873047,0.10571289
105,0,97.940315,0.093673706,-0.907959,0.10571289
105,1,36.325405,-0.6477051,2.4765625,0.10571289
